User_Location,Artisan_Location,Skill_Type,Availability,Scheduling_Preference,Artisan_Name
Benue,Benue,Plumber,Available,On-Demand,Aisha Ali
Plateau,Plateau,Tailor,Available,Advance,Aliyu Ali
Plateau,Plateau,Tiler,Available,On-Demand,Aliyu Sani
Borno,Borno,Carpenter,Available,On-Demand,Olumide Ajayi
Bauchi,Bauchi,Shoe Cobbler,Not Available,Advance,Ifeoma Okeke
Osun,Osun,Gardener,Available,On-Demand,Oluwakemi Adegbola
Yobe,Yobe,Gardener,Available,Advance,Oluwakemi Adegbola
Cross River,Cross River,Tailor,Not Available,On-Demand,Olufemi Adegbola
Borno,Borno,Barber,Available,Advance,Hauwa Ibrahim
Bayelsa,Bayelsa,Tiler,Available,Advance,Nneka Nwankwo
Plateau,Plateau,Shoe Cobbler,Not Available,On-Demand,Oluwatobi Olawale
Taraba,Taraba,Plumber,Available,Advance,Chukwudi Okeke
Anambra,Anambra,Electrician,Not Available,Advance,Umar Hassan
Kaduna,Kaduna,Carpenter,Available,On-Demand,Adetokunbo Ojo
Ondo,Ondo,Dressmaker,Not Available,On-Demand,Sadiya Abubakar
Taraba,Taraba,Tiler,Not Available,Advance,Oluwatoyin Ojo
Imo,Imo,Shoe Cobbler,Available,On-Demand,Abubakar Ibrahim
Taraba,Taraba,Event Planner,Available,Advance,Olufemi Ojo
Ekiti,Ekiti,Barber,Available,Advance,Chizoba Onyeka
Kano,Kano,Event Planner,Available,Advance,Chinonso Nwankwo
Plateau,Plateau,Event Planner,Available,On-Demand,Umar Umar
Oyo,Oyo,Caterer,Not Available,Advance,Uchechi Eze
Kebbi,Kebbi,Tailor,Available,On-Demand,Yusuf Umar
Plateau,Plateau,Carpenter,Available,Advance,Oluwaseun Ogunleye
Akwa Ibom,Akwa Ibom,Tailor,Available,Advance,Uchechi Okafor
Jigawa,Jigawa,Electrician,Not Available,On-Demand,Oluwaseun Ogunleye
Delta,Delta,Furniture Maker,Not Available,Advance,Uchechi Okoye
Jigawa,Jigawa,Interior Decorator,Not Available,Advance,Adetokunbo Adeyemi
Kano,Kano,Mechanic,Not Available,Advance,Sadiya Abubakar
Bauchi,Bauchi,Dressmaker,Available,Advance,Abubakar Ibrahim
Zamfara,Zamfara,Furniture Maker,Not Available,On-Demand,Sadiya Yusuf
Ondo,Ondo,Hairdresser,Available,On-Demand,Fatima Abubakar
Ondo,Ondo,Tailor,Not Available,On-Demand,Adetokunbo Ogunlana
Anambra,Anambra,Interior Decorator,Not Available,On-Demand,Chizoba Nwankwo
Bauchi,Bauchi,Shoe Cobbler,Available,Advance,Yusuf Sani
Anambra,Anambra,Dressmaker,Not Available,Advance,Oluwatoyin Ojo
Sokoto,Sokoto,Tiler,Not Available,Advance,Ifeoma Okoye
Osun,Osun,Dressmaker,Not Available,On-Demand,Babatunde Ogunlana
Akwa Ibom,Akwa Ibom,Carpenter,Not Available,On-Demand,Ifeoma Ibe
Abia,Abia,Shoe Cobbler,Available,On-Demand,Chidinma Okoye
Oyo,Oyo,Hairdresser,Available,Advance,Olumide Adegbola
Borno,Borno,Gardener,Available,Advance,Aisha Hassan
Gombe,Gombe,Makeup Artist,Not Available,Advance,Oluwatoyin Ajayi
Edo,Edo,Makeup Artist,Not Available,On-Demand,Oluwatoyin Adegbola
Jigawa,Jigawa,Makeup Artist,Not Available,On-Demand,Chidinma Okafor
Ekiti,Ekiti,Caterer,Available,On-Demand,Umar Muhammad
Delta,Delta,Furniture Maker,Available,Advance,Oluwatobi Adegbola
Ogun,Ogun,Dressmaker,Available,Advance,Aliyu Ali
Zamfara,Zamfara,Interior Decorator,Available,On-Demand,Oluwatobi Adegbola
Ekiti,Ekiti,Gardener,Not Available,Advance,Umar Ibrahim
Lagos,Lagos,Tiler,Available,Advance,Uchechi Onyeka
Niger,Niger,Tiler,Not Available,Advance,Uchechi Eze
Bayelsa,Bayelsa,Mechanic,Not Available,On-Demand,Chukwudi Okoye
Ondo,Ondo,Event Planner,Not Available,On-Demand,Chizoba Okafor
Ekiti,Ekiti,Event Planner,Not Available,On-Demand,Adetokunbo Ojo
Plateau,Plateau,Barber,Not Available,On-Demand,Oluwatoyin Olawale
Gombe,Gombe,Tiler,Not Available,Advance,Nneka Okeke
Niger,Niger,Electrician,Not Available,Advance,Ifeoma Okafor
Osun,Osun,Gardener,Available,Advance,Adetokunbo Olawale
Kwara,Kwara,Electrician,Available,Advance,Chukwudi Ibe
Osun,Osun,Painter,Not Available,Advance,Oluwatobi Olawale
Niger,Niger,Barber,Not Available,Advance,Hauwa Umar
Oyo,Oyo,Furniture Maker,Not Available,On-Demand,Oluwakemi Ajayi
Bauchi,Bauchi,Plumber,Available,On-Demand,Chizoba Eze
Cross River,Cross River,Hairdresser,Not Available,Advance,Yusuf Abubakar
Imo,Imo,Makeup Artist,Available,Advance,Olumide Adegbola
Kano,Kano,Dressmaker,Not Available,On-Demand,Oluwatoyin Adegbola
Niger,Niger,Furniture Maker,Available,On-Demand,Chizoba Okafor
Zamfara,Zamfara,Caterer,Not Available,Advance,Olumide Ogunlana
Adamawa,Adamawa,Event Planner,Available,On-Demand,Adetokunbo Ogunleye
Kebbi,Kebbi,Tiler,Not Available,Advance,Uchechi Okeke
Ondo,Ondo,Shoe Cobbler,Available,On-Demand,Babatunde Adeyemi
Osun,Osun,Mechanic,Available,On-Demand,Babatunde Adegbola
Akwa Ibom,Akwa Ibom,Event Planner,Available,Advance,Oluwakemi Adegbola
Katsina,Katsina,Painter,Available,On-Demand,Hauwa Muhammad
Kano,Kano,Plumber,Not Available,On-Demand,Sadiya Abubakar
Ebonyi,Ebonyi,Hairdresser,Available,On-Demand,Fatima Muhammad
Zamfara,Zamfara,Carpenter,Available,On-Demand,Abubakar Hassan
Katsina,Katsina,Plumber,Available,Advance,Chidinma Okafor
Gombe,Gombe,Carpenter,Not Available,Advance,Oluwatoyin Adeyemi
Adamawa,Adamawa,Hairdresser,Not Available,On-Demand,Oluwaseun Adeyemi
Plateau,Plateau,Hairdresser,Available,On-Demand,Uchechi Okoye
Lagos,Lagos,Gardener,Not Available,On-Demand,Ifeoma Okoye
Edo,Edo,Electrician,Available,Advance,Oluwatoyin Ogunlana
Ekiti,Ekiti,Graphic Designer,Available,On-Demand,Obinna Eze
Adamawa,Adamawa,Event Planner,Not Available,On-Demand,Adetokunbo Ojo
Ogun,Ogun,Gardener,Available,On-Demand,Babatunde Adebiyi
Akwa Ibom,Akwa Ibom,Tiler,Not Available,On-Demand,Olufemi Adebiyi
Osun,Osun,Mechanic,Available,Advance,Chizoba Onyeka
Kogi,Kogi,Photographer,Available,On-Demand,Chizoba Okeke
Katsina,Katsina,Shoe Cobbler,Available,On-Demand,Oluwatobi Ogunlana
Jigawa,Jigawa,Tailor,Not Available,On-Demand,Uchechi Okafor
Anambra,Anambra,Painter,Not Available,Advance,Obinna Okoye
Cross River,Cross River,Painter,Not Available,Advance,Oluwakemi Ogunlana
Imo,Imo,Electrician,Not Available,On-Demand,Aliyu Sani
Benue,Benue,Carpenter,Available,Advance,Olumide Ajayi
Bauchi,Bauchi,Furniture Maker,Available,Advance,Hauwa Muhammad
Taraba,Taraba,Welder,Not Available,On-Demand,Abubakar Muhammad
Kaduna,Kaduna,Graphic Designer,Not Available,On-Demand,Aliyu Ali
Bayelsa,Bayelsa,Electrician,Not Available,On-Demand,Chinonso Nwankwo
Sokoto,Sokoto,Mechanic,Available,Advance,Umar Sani
Bayelsa,Bayelsa,Tiler,Available,On-Demand,Olufemi Ajayi
Ekiti,Ekiti,Interior Decorator,Not Available,Advance,Fatima Abubakar
Katsina,Katsina,Painter,Not Available,On-Demand,Chizoba Ibe
Yobe,Yobe,Event Planner,Not Available,Advance,Yusuf Umar
Oyo,Oyo,Caterer,Available,Advance,Aliyu Umar
Kaduna,Kaduna,Gardener,Not Available,Advance,Obinna Okafor
Borno,Borno,Graphic Designer,Not Available,Advance,Adetokunbo Adebiyi
Katsina,Katsina,Event Planner,Available,Advance,Sadiya Yusuf
Rivers,Rivers,Barber,Not Available,On-Demand,Uchechi Ibe
Katsina,Katsina,Furniture Maker,Not Available,On-Demand,Aliyu Ali
Adamawa,Adamawa,Hairdresser,Available,On-Demand,Aliyu Umar
Ekiti,Ekiti,Welder,Available,Advance,Fatima Muhammad
Taraba,Taraba,Gardener,Available,On-Demand,Oluwakemi Adeyemi
Plateau,Plateau,Photographer,Not Available,On-Demand,Babatunde Ogunlana
Bauchi,Bauchi,Caterer,Available,On-Demand,Abubakar Hassan
Taraba,Taraba,Photographer,Available,On-Demand,Aisha Abubakar
Benue,Benue,Carpenter,Available,Advance,Abubakar Ibrahim
Anambra,Anambra,Furniture Maker,Available,On-Demand,Yusuf Ibrahim
Rivers,Rivers,Electrician,Available,Advance,Abubakar Yusuf
Ondo,Ondo,Tiler,Not Available,Advance,Chukwudi Ibe
Yobe,Yobe,Carpenter,Available,On-Demand,Nneka Eze
Bauchi,Bauchi,Welder,Available,Advance,Obinna Okafor
Abia,Abia,Photographer,Not Available,Advance,Adetokunbo Adegbola
Ogun,Ogun,Makeup Artist,Available,On-Demand,Adetokunbo Adebiyi
Lagos,Lagos,Event Planner,Available,On-Demand,Obinna Okeke
Imo,Imo,Painter,Not Available,Advance,Aliyu Hassan
Abia,Abia,Furniture Maker,Available,Advance,Olufemi Olawale
Kano,Kano,Tiler,Not Available,On-Demand,Olufemi Adebiyi
Bayelsa,Bayelsa,Plumber,Available,Advance,Abubakar Yusuf
Zamfara,Zamfara,Electrician,Not Available,Advance,Yusuf Umar
Yobe,Yobe,Tiler,Available,Advance,Olumide Ajayi
Ondo,Ondo,Gardener,Available,On-Demand,Ifeoma Nwankwo
Ogun,Ogun,Plumber,Available,Advance,Olumide Ojo
Yobe,Yobe,Painter,Available,Advance,Chinonso Okeke
Nasarawa,Nasarawa,Caterer,Not Available,On-Demand,Aisha Muhammad
Kwara,Kwara,Electrician,Not Available,On-Demand,Hauwa Ibrahim
Ebonyi,Ebonyi,Event Planner,Available,On-Demand,Oluwatobi Adebiyi
Rivers,Rivers,Interior Decorator,Available,On-Demand,Oluwakemi Ogunleye
Sokoto,Sokoto,Shoe Cobbler,Available,Advance,Yusuf Sani
Katsina,Katsina,Furniture Maker,Not Available,On-Demand,Oluwatoyin Ajayi
Anambra,Anambra,Mechanic,Available,On-Demand,Oluwaseun Adebiyi
Imo,Imo,Dressmaker,Available,Advance,Yusuf Umar
Bauchi,Bauchi,Event Planner,Not Available,On-Demand,Hauwa Ali
Anambra,Anambra,Mechanic,Not Available,On-Demand,Oluwakemi Ajayi
Nasarawa,Nasarawa,Painter,Not Available,On-Demand,Ifeoma Okeke
Imo,Imo,Welder,Not Available,Advance,Oluwatobi Olawale
Kaduna,Kaduna,Caterer,Available,Advance,Hauwa Umar
Nasarawa,Nasarawa,Photographer,Available,On-Demand,Olumide Ogunlana
Akwa Ibom,Akwa Ibom,Event Planner,Not Available,On-Demand,Babatunde Olawale
Bauchi,Bauchi,Shoe Cobbler,Not Available,Advance,Chukwudi Nwankwo
Osun,Osun,Graphic Designer,Available,Advance,Oluwakemi Ojo
Ondo,Ondo,Carpenter,Available,Advance,Uchechi Okafor
Cross River,Cross River,Painter,Available,On-Demand,Hauwa Abubakar
Osun,Osun,Painter,Available,On-Demand,Ifeoma Okafor
Taraba,Taraba,Hairdresser,Not Available,On-Demand,Oluwatoyin Adeyemi
Jigawa,Jigawa,Makeup Artist,Available,Advance,Chizoba Okafor
Plateau,Plateau,Mechanic,Not Available,On-Demand,Uchechi Nwankwo
Katsina,Katsina,Event Planner,Not Available,Advance,Aisha Umar
Abia,Abia,Photographer,Available,Advance,Uchechi Nwankwo
Imo,Imo,Interior Decorator,Available,Advance,Chizoba Onyeka
Enugu,Enugu,Makeup Artist,Not Available,On-Demand,Chinonso Okafor
Oyo,Oyo,Welder,Not Available,Advance,Yusuf Ali
Ondo,Ondo,Barber,Available,On-Demand,Hauwa Ibrahim
Bauchi,Bauchi,Tailor,Not Available,On-Demand,Aliyu Abubakar
Kebbi,Kebbi,Carpenter,Available,On-Demand,Fatima Sani
Bayelsa,Bayelsa,Dressmaker,Not Available,On-Demand,Chukwudi Okafor
Enugu,Enugu,Photographer,Not Available,Advance,Adetokunbo Ogunleye
Enugu,Enugu,Painter,Not Available,Advance,Uchechi Okoye
Kaduna,Kaduna,Tailor,Available,Advance,Sadiya Hassan
Kogi,Kogi,Welder,Not Available,Advance,Oluwaseun Adegbola
Borno,Borno,Makeup Artist,Not Available,On-Demand,Uchechi Okoye
Katsina,Katsina,Hairdresser,Not Available,Advance,Oluwaseun Ojo
Edo,Edo,Event Planner,Available,Advance,Fatima Yusuf
Benue,Benue,Tiler,Available,Advance,Oluwakemi Adebiyi
Oyo,Oyo,Mechanic,Available,On-Demand,Chidinma Okafor
Akwa Ibom,Akwa Ibom,Tiler,Not Available,Advance,Oluwatoyin Adebiyi
Borno,Borno,Tiler,Available,On-Demand,Uchechi Ibe
Enugu,Enugu,Interior Decorator,Available,On-Demand,Hauwa Sani
Ondo,Ondo,Barber,Available,Advance,Nneka Okoye
Osun,Osun,Carpenter,Available,On-Demand,Olumide Adeyemi
Ondo,Ondo,Hairdresser,Available,On-Demand,Oluwaseun Adeyemi
Ekiti,Ekiti,Caterer,Available,Advance,Ifeoma Eze
Akwa Ibom,Akwa Ibom,Gardener,Available,On-Demand,Abubakar Hassan
Delta,Delta,Gardener,Not Available,On-Demand,Fatima Ibrahim
Oyo,Oyo,Graphic Designer,Not Available,On-Demand,Yusuf Yusuf
Edo,Edo,Tiler,Available,Advance,Yusuf Ibrahim
Ondo,Ondo,Plumber,Available,Advance,Abubakar Abubakar
Delta,Delta,Painter,Available,On-Demand,Oluwakemi Adegbola
Zamfara,Zamfara,Gardener,Available,On-Demand,Oluwatoyin Olawale
Osun,Osun,Hairdresser,Not Available,Advance,Oluwakemi Ogunlana
Edo,Edo,Carpenter,Not Available,Advance,Fatima Ali
Jigawa,Jigawa,Furniture Maker,Available,Advance,Adetokunbo Adebiyi
Yobe,Yobe,Graphic Designer,Not Available,On-Demand,Ifeoma Onyeka
Adamawa,Adamawa,Makeup Artist,Available,On-Demand,Ifeoma Onyeka
Gombe,Gombe,Caterer,Available,On-Demand,Fatima Sani
Borno,Borno,Welder,Not Available,Advance,Fatima Ibrahim
Taraba,Taraba,Dressmaker,Available,Advance,Adetokunbo Adeyemi
Taraba,Taraba,Welder,Not Available,Advance,Fatima Ali
Ondo,Ondo,Electrician,Not Available,Advance,Babatunde Ogunlana
Kano,Kano,Plumber,Available,Advance,Oluwatobi Adeyemi
Ondo,Ondo,Tailor,Not Available,Advance,Adetokunbo Adegbola
Ekiti,Ekiti,Tiler,Available,Advance,Umar Hassan
Jigawa,Jigawa,Interior Decorator,Not Available,Advance,Chidinma Nwankwo
Sokoto,Sokoto,Event Planner,Available,Advance,Oluwaseun Ogunlana
Borno,Borno,Carpenter,Available,On-Demand,Chidinma Okafor
Sokoto,Sokoto,Plumber,Not Available,On-Demand,Nneka Okafor
Yobe,Yobe,Carpenter,Available,On-Demand,Olufemi Adegbola
Osun,Osun,Interior Decorator,Not Available,On-Demand,Sadiya Sani
Kaduna,Kaduna,Plumber,Available,Advance,Aisha Ali
Rivers,Rivers,Makeup Artist,Available,Advance,Olufemi Adeyemi
Niger,Niger,Dressmaker,Not Available,On-Demand,Abubakar Ibrahim
Jigawa,Jigawa,Gardener,Available,Advance,Umar Abubakar
Kogi,Kogi,Makeup Artist,Not Available,On-Demand,Chizoba Nwankwo
Imo,Imo,Painter,Available,On-Demand,Fatima Ibrahim
Kebbi,Kebbi,Tiler,Available,Advance,Aliyu Hassan
Ondo,Ondo,Carpenter,Not Available,Advance,Adetokunbo Ajayi
Akwa Ibom,Akwa Ibom,Caterer,Available,Advance,Chidinma Okoye
Nasarawa,Nasarawa,Furniture Maker,Not Available,On-Demand,Olufemi Olawale
Benue,Benue,Dressmaker,Available,On-Demand,Nneka Ibe
Lagos,Lagos,Plumber,Not Available,Advance,Umar Muhammad
Delta,Delta,Plumber,Not Available,Advance,Aliyu Sani
Oyo,Oyo,Mechanic,Not Available,Advance,Olufemi Ajayi
Kaduna,Kaduna,Interior Decorator,Not Available,Advance,Oluwaseun Ogunlana
Abia,Abia,Plumber,Not Available,On-Demand,Chukwudi Okafor
Edo,Edo,Hairdresser,Not Available,On-Demand,Olumide Adeyemi
Niger,Niger,Shoe Cobbler,Available,On-Demand,Adetokunbo Adebiyi
Katsina,Katsina,Photographer,Not Available,On-Demand,Obinna Okeke
Kogi,Kogi,Tiler,Not Available,Advance,Umar Hassan
Rivers,Rivers,Painter,Available,On-Demand,Chukwudi Onyeka
Kaduna,Kaduna,Graphic Designer,Not Available,On-Demand,Uchechi Onyeka
Abia,Abia,Photographer,Not Available,Advance,Aliyu Umar
Cross River,Cross River,Electrician,Available,Advance,Oluwakemi Adeyemi
Delta,Delta,Caterer,Not Available,On-Demand,Aliyu Sani
Plateau,Plateau,Interior Decorator,Available,Advance,Aisha Ali
Ekiti,Ekiti,Dressmaker,Available,On-Demand,Nneka Okeke
Ondo,Ondo,Caterer,Not Available,On-Demand,Chukwudi Onyeka
Gombe,Gombe,Barber,Available,Advance,Adetokunbo Adegbola
Kano,Kano,Electrician,Available,Advance,Umar Sani
Kebbi,Kebbi,Gardener,Available,On-Demand,Oluwakemi Ajayi
Zamfara,Zamfara,Painter,Not Available,Advance,Sadiya Yusuf
Akwa Ibom,Akwa Ibom,Plumber,Available,Advance,Babatunde Adeyemi
Nasarawa,Nasarawa,Carpenter,Not Available,On-Demand,Oluwakemi Ogunleye
Bayelsa,Bayelsa,Interior Decorator,Not Available,Advance,Chidinma Okafor
Cross River,Cross River,Tiler,Available,On-Demand,Chukwudi Onyeka
Enugu,Enugu,Dressmaker,Not Available,On-Demand,Oluwatobi Adebiyi
Taraba,Taraba,Furniture Maker,Not Available,Advance,Oluwatoyin Ogunleye
Adamawa,Adamawa,Plumber,Not Available,Advance,Obinna Okafor
Nasarawa,Nasarawa,Barber,Available,Advance,Aisha Yusuf
Osun,Osun,Makeup Artist,Available,Advance,Abubakar Sani
Imo,Imo,Makeup Artist,Not Available,Advance,Hauwa Yusuf
Taraba,Taraba,Dressmaker,Not Available,On-Demand,Adetokunbo Ogunleye
Bayelsa,Bayelsa,Electrician,Available,On-Demand,Uchechi Nwankwo
Niger,Niger,Dressmaker,Not Available,Advance,Fatima Muhammad
Yobe,Yobe,Graphic Designer,Available,Advance,Obinna Okoye
Kebbi,Kebbi,Interior Decorator,Not Available,Advance,Fatima Muhammad
Jigawa,Jigawa,Tailor,Not Available,On-Demand,Oluwakemi Ajayi
Kebbi,Kebbi,Mechanic,Available,On-Demand,Ifeoma Okafor
Ekiti,Ekiti,Graphic Designer,Available,Advance,Yusuf Sani
Jigawa,Jigawa,Shoe Cobbler,Not Available,On-Demand,Aliyu Umar
Ebonyi,Ebonyi,Caterer,Not Available,On-Demand,Chinonso Ibe
Rivers,Rivers,Event Planner,Available,On-Demand,Nneka Okafor
Imo,Imo,Shoe Cobbler,Available,On-Demand,Abubakar Sani
Ogun,Ogun,Gardener,Available,Advance,Abubakar Abubakar
Adamawa,Adamawa,Tailor,Not Available,Advance,Umar Muhammad
Zamfara,Zamfara,Barber,Not Available,Advance,Fatima Muhammad
Bayelsa,Bayelsa,Plumber,Not Available,Advance,Olumide Ojo
Kaduna,Kaduna,Barber,Not Available,On-Demand,Nneka Okeke
Yobe,Yobe,Dressmaker,Available,On-Demand,Chidinma Okeke
Adamawa,Adamawa,Tiler,Available,Advance,Olumide Adegbola
Oyo,Oyo,Tiler,Not Available,On-Demand,Olufemi Ogunlana
Ebonyi,Ebonyi,Painter,Not Available,Advance,Obinna Nwankwo
Taraba,Taraba,Caterer,Not Available,On-Demand,Uchechi Nwankwo
Kebbi,Kebbi,Barber,Available,Advance,Chizoba Eze
Borno,Borno,Interior Decorator,Available,Advance,Obinna Okeke
Borno,Borno,Gardener,Not Available,On-Demand,Hauwa Yusuf
Edo,Edo,Welder,Available,Advance,Obinna Okoye
Lagos,Lagos,Painter,Not Available,On-Demand,Obinna Okeke
Yobe,Yobe,Graphic Designer,Not Available,Advance,Aliyu Hassan
Rivers,Rivers,Furniture Maker,Available,Advance,Chinonso Okafor
Jigawa,Jigawa,Tiler,Available,Advance,Aliyu Sani
Kogi,Kogi,Event Planner,Not Available,Advance,Chizoba Okafor
Sokoto,Sokoto,Caterer,Available,Advance,Yusuf Abubakar
Zamfara,Zamfara,Interior Decorator,Not Available,On-Demand,Sadiya Yusuf
Kwara,Kwara,Plumber,Not Available,Advance,Chizoba Nwankwo
Niger,Niger,Makeup Artist,Available,On-Demand,Chizoba Onyeka
Anambra,Anambra,Event Planner,Available,Advance,Adetokunbo Adeyemi
Ondo,Ondo,Event Planner,Available,On-Demand,Nneka Okeke
Yobe,Yobe,Barber,Not Available,Advance,Oluwatobi Ajayi
Ebonyi,Ebonyi,Tiler,Not Available,Advance,Hauwa Hassan
Kano,Kano,Welder,Available,Advance,Aliyu Hassan
Osun,Osun,Shoe Cobbler,Not Available,On-Demand,Olumide Ogunlana
Borno,Borno,Makeup Artist,Not Available,Advance,Chukwudi Okoye
Adamawa,Adamawa,Tiler,Available,Advance,Oluwatoyin Adegbola
Benue,Benue,Photographer,Available,On-Demand,Aisha Muhammad
Kwara,Kwara,Carpenter,Not Available,On-Demand,Oluwatoyin Olawale
Lagos,Lagos,Caterer,Available,Advance,Chinonso Eze
Niger,Niger,Makeup Artist,Not Available,On-Demand,Chukwudi Eze
Cross River,Cross River,Interior Decorator,Not Available,Advance,Olumide Ogunleye
Enugu,Enugu,Dressmaker,Not Available,On-Demand,Oluwakemi Adegbola
Oyo,Oyo,Electrician,Not Available,Advance,Fatima Ibrahim
Kaduna,Kaduna,Carpenter,Not Available,On-Demand,Aliyu Abubakar
Niger,Niger,Tailor,Not Available,Advance,Oluwatoyin Ogunlana
Imo,Imo,Welder,Available,Advance,Fatima Yusuf
Edo,Edo,Dressmaker,Not Available,On-Demand,Abubakar Sani
Osun,Osun,Mechanic,Available,On-Demand,Obinna Okafor
Borno,Borno,Tiler,Available,On-Demand,Chidinma Okoye
Gombe,Gombe,Welder,Not Available,Advance,Babatunde Adegbola
Oyo,Oyo,Interior Decorator,Not Available,On-Demand,Aliyu Ali
Katsina,Katsina,Caterer,Not Available,On-Demand,Chinonso Okafor
Sokoto,Sokoto,Carpenter,Not Available,On-Demand,Aisha Ibrahim
Adamawa,Adamawa,Furniture Maker,Available,On-Demand,Uchechi Okafor
Sokoto,Sokoto,Furniture Maker,Available,Advance,Oluwatoyin Olawale
Enugu,Enugu,Photographer,Not Available,On-Demand,Aisha Ali
Katsina,Katsina,Welder,Not Available,On-Demand,Chidinma Okafor
Ogun,Ogun,Event Planner,Available,On-Demand,Hauwa Umar
Kogi,Kogi,Furniture Maker,Not Available,Advance,Chizoba Nwankwo
Niger,Niger,Barber,Available,Advance,Sadiya Ali
Nasarawa,Nasarawa,Makeup Artist,Available,Advance,Chukwudi Okeke
Niger,Niger,Hairdresser,Available,Advance,Uchechi Ibe
Ekiti,Ekiti,Makeup Artist,Available,On-Demand,Chinonso Okafor
Abia,Abia,Photographer,Available,On-Demand,Uchechi Ibe
Ebonyi,Ebonyi,Electrician,Not Available,Advance,Oluwatobi Ogunlana
Delta,Delta,Painter,Available,On-Demand,Aisha Ibrahim
Gombe,Gombe,Dressmaker,Available,Advance,Olumide Ojo
Cross River,Cross River,Painter,Not Available,On-Demand,Olumide Ogunlana
Kebbi,Kebbi,Caterer,Not Available,Advance,Oluwatoyin Adegbola
Oyo,Oyo,Electrician,Not Available,On-Demand,Fatima Sani
Imo,Imo,Photographer,Available,Advance,Nneka Ibe
Gombe,Gombe,Caterer,Available,Advance,Abubakar Sani
Rivers,Rivers,Plumber,Available,On-Demand,Adetokunbo Olawale
Kano,Kano,Gardener,Not Available,Advance,Uchechi Okafor
Plateau,Plateau,Barber,Available,Advance,Oluwaseun Ogunleye
Plateau,Plateau,Photographer,Available,On-Demand,Oluwatoyin Ojo
Kano,Kano,Hairdresser,Not Available,On-Demand,Oluwaseun Olawale
Rivers,Rivers,Painter,Available,Advance,Chukwudi Nwankwo
Oyo,Oyo,Dressmaker,Available,Advance,Oluwakemi Ajayi
Kebbi,Kebbi,Welder,Not Available,Advance,Olufemi Ogunleye
Kano,Kano,Welder,Not Available,Advance,Babatunde Adeyemi
Ogun,Ogun,Mechanic,Available,Advance,Olumide Ogunlana
Bayelsa,Bayelsa,Furniture Maker,Available,Advance,Sadiya Umar
Jigawa,Jigawa,Plumber,Not Available,Advance,Oluwaseun Adegbola
Niger,Niger,Tailor,Available,On-Demand,Nneka Ibe
Taraba,Taraba,Barber,Not Available,On-Demand,Oluwatoyin Ajayi
Borno,Borno,Electrician,Available,Advance,Uchechi Okeke
Osun,Osun,Welder,Available,Advance,Aliyu Hassan
Borno,Borno,Plumber,Not Available,On-Demand,Aisha Sani
Benue,Benue,Caterer,Available,Advance,Olumide Adebiyi
Zamfara,Zamfara,Hairdresser,Available,On-Demand,Oluwatobi Olawale
Kaduna,Kaduna,Makeup Artist,Not Available,Advance,Oluwakemi Olawale
Yobe,Yobe,Barber,Available,On-Demand,Babatunde Ajayi
Edo,Edo,Event Planner,Not Available,On-Demand,Ifeoma Ibe
Ekiti,Ekiti,Barber,Available,On-Demand,Oluwakemi Ogunleye
Ogun,Ogun,Dressmaker,Available,Advance,Hauwa Abubakar
Nasarawa,Nasarawa,Interior Decorator,Available,On-Demand,Olufemi Ojo
Lagos,Lagos,Event Planner,Not Available,Advance,Oluwakemi Ogunleye
Jigawa,Jigawa,Carpenter,Not Available,On-Demand,Oluwatobi Adebiyi
Borno,Borno,Mechanic,Available,On-Demand,Oluwaseun Adebiyi
Kaduna,Kaduna,Furniture Maker,Not Available,On-Demand,Aisha Umar
Abia,Abia,Event Planner,Available,On-Demand,Oluwakemi Adegbola
Ondo,Ondo,Interior Decorator,Available,Advance,Chidinma Eze
Ebonyi,Ebonyi,Welder,Not Available,Advance,Umar Muhammad
Kwara,Kwara,Gardener,Available,Advance,Uchechi Okeke
Edo,Edo,Event Planner,Available,Advance,Chukwudi Okeke
Niger,Niger,Plumber,Not Available,Advance,Oluwakemi Adebiyi
Adamawa,Adamawa,Gardener,Not Available,Advance,Hauwa Ibrahim
Bauchi,Bauchi,Tailor,Available,On-Demand,Nneka Okeke
Osun,Osun,Electrician,Available,On-Demand,Chinonso Onyeka
Rivers,Rivers,Event Planner,Not Available,On-Demand,Babatunde Ojo
Nasarawa,Nasarawa,Makeup Artist,Not Available,Advance,Oluwatoyin Ogunleye
Rivers,Rivers,Graphic Designer,Available,On-Demand,Abubakar Abubakar
Ekiti,Ekiti,Caterer,Not Available,Advance,Oluwaseun Olawale
Taraba,Taraba,Tiler,Available,On-Demand,Oluwakemi Ojo
Imo,Imo,Barber,Not Available,Advance,Obinna Nwankwo
Taraba,Taraba,Gardener,Available,On-Demand,Oluwatobi Ogunlana
Ekiti,Ekiti,Plumber,Available,On-Demand,Adetokunbo Ajayi
Osun,Osun,Caterer,Available,On-Demand,Chukwudi Ibe
Kebbi,Kebbi,Event Planner,Available,On-Demand,Babatunde Adebiyi
Borno,Borno,Makeup Artist,Not Available,On-Demand,Olufemi Adegbola
Osun,Osun,Electrician,Not Available,On-Demand,Aisha Abubakar
Bauchi,Bauchi,Hairdresser,Available,On-Demand,Oluwatobi Ogunleye
Bauchi,Bauchi,Event Planner,Not Available,On-Demand,Aliyu Ali
Ondo,Ondo,Furniture Maker,Not Available,Advance,Uchechi Okafor
Anambra,Anambra,Barber,Not Available,On-Demand,Obinna Okeke
